职位名称,公司名称,公司类型,融资情况,公司规模
分布式存储产品开发工程师【成都】,字节跳动,互联网,其他,10000人以上
分布式存储资深架构师【南京-雨花台区】,某知名上市公司,通信设备,已上市,10000人以上
分布式存储资深架构师【南京】,某深圳IT服务上市公司,通信设备,已上市,10000人以上
分布式存储产品化开发工程师【上海-闵行区】,字节跳动,互联网,其他,10000人以上
金融行业技术架构师【北京】,某北京大型互联网公司,在线社交/媒体,D轮及以上,10000人以上
解决方案架构师【北京】,某北京计算机硬件上市公司,计算机硬件,已上市,100-499人
分布式存储资深架构师【南京】,某知名IT服务上市公司,通信设备,已上市,10000人以上
分布式存储资深架构师【南京-雨花台区】,知名通讯上市厂商,电子/芯片/半导体,已上市,10000人以上
分布式存储资深架构师【南京】,某大型知名通信设备公司,通信设备,已上市,10000人以上
资料开发工程师【北京】,海致星图,云计算/大数据,D轮,100-499人
分布式存储资深架构师【南京-雨花台区】,某知名通信设备上市公司,通信设备,已上市,10000人以上
开发部经理（分布式存储）【长沙】,某咨询服务公司,咨询服务,融资未公开,1-49人
金融行业技术架构师【上海】,某北京大型互联网公司,在线社交/媒体,D轮及以上,10000人以上
云存储研发工程师(J17367)【上海-浦东新区】,Baidu,互联网,美股上市,10000人以上
解决方案架构师【北京-海淀区】,同有科技,计算机硬件,沪深A股上市,100-499人
资深存储开发工程师（成都）【成都-高新区】,西安奥卡云数据科技有限公司,计算机软件,融资未公开,100-499人
高级开发工程师（数据库存储）【上海】,某互联网科技公司,互联网/电商,已上市,10000人以上
分布式存储资深架构师【南京】,某深圳通信设备上市公司,通信设备,已上市,10000人以上
高级分布式存储系统架构专家-iaas(J11409)【苏州-虎丘区】,中移软件技术,运营商/增值服务,其他,1000-2000人
金融行业技术架构师【北京】,某北京大型在线社交/媒体公司,在线社交/媒体,D轮及以上,10000人以上
云计算解决方案专家【深圳-南山区】,深信服科技股份有限公司,互联网,已上市,5000-10000人
存储小机工程师【上海-浦东新区】,北京银信长远科技股份有限公司,IT服务,已上市,5000-10000人
存储运维工程师(J10017)【天津-滨海新区】,紫光云,云计算/大数据,融资未公开,1000-2000人
高级存储软件工程师（成都）【成都-武侯区】,西安奥卡云数据科技有限公司,计算机软件,融资未公开,100-499人
云网技术工程师【广州-天河区】,某广州互联网公司,互联网,融资未公开,100-499人
应用软件开发工程师（C++）【武汉-洪山区】,海康威视,计算机软件,沪深A股上市,10000人以上
混合云存储&数据库开发工程师【成都】,字节跳动,互联网,其他,10000人以上
网络运维工程师【深圳-福田区】,法本信息,IT服务,已上市,10000人以上
数据中心解决方案专家【深圳】,深信服科技股份有限公司,互联网,已上市,5000-10000人
软件开发工程师【成都-郫都区】,华为,通信设备, ,10000人以上
存储研发工程师【北京-海淀区】,北京睿芯高通量科技有限公司,电子/半导体/集成电路, ,100-499人
云存储服务产品经理【北京】,天翼云科技有限公司,互联网,其他,2000-5000人
Ceph高级研发工程师（南京）(J10268)【南京-秦淮区】,中国电信集团系统集成有限责任公司,IT服务, ,10000人以上
